Card ID,Card Name,Expansion,Collection Number,Category,Pokemon Stage,Previous Stage,HP,Energy Type,Trainer Type,Rule,Weakness,Resistance,Retreat Cost,Move 1 Name,Move 1 Energy Cost,Move 1 Damage,Move 1 Effect,Move 2 Name,Move 2 Energy Cost,Move 2 Damage,Move 2 Effect,Ability Name,Ability Effect,Explanation / Synergy Tag
PKMN-10269,Houndoom,Obsidian Flames,003/198,Pokemon,Stage 1,Houndour,130,Darkness,,,Grass x2,None,2,Crunch,2 D,80,,Crunch,,,,,,Stage 1 pivot & engine bridge for Houndoom lineup.
PKMN-10270,Houndoom ex,Obsidian Flames,026/198,Pokemon,Stage 1,Houndour,230,Darkness,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Grass x2,None,2,Torment,2 D,280,,Frenzy Gouging,3 D,260,,,,Meta tier-1 rule-box flagship Houndoom ex.
PKMN-10271,Darkrai,Twilight Masquerade,154/198,Pokemon,Basic,,90,Darkness,,,Grass x2,None,2,Darkness Fang,1 D,20,,,,,,,,Standard basic Darkness starter for Darkrai evolution tree.
PKMN-10272,Darkrai VSTAR,Twilight Masquerade,131/198,Pokemon,Basic,,230,Darkness,,VSTAR Rule: Opponent takes 2 Prizes.,Grass x2,None,2,Frenzy Gouging,2 D,200,,,,,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Darkrai VSTAR.
PKMN-10273,Zorua,Rebel Clash,128/198,Pokemon,Basic,,90,Darkness,,,Grass x2,None,2,Night Slash,1 D,10,,,,,,Zorua's Intuition,,Standard basic Darkness starter for Zorua evolution tree.
PKMN-10274,Zoroark,Rebel Clash,146/198,Pokemon,Stage 1,Zorua,120,Darkness,,,Grass x2,None,2,Bite,2 D,60,,,,80,,Inconspicuous,,Stage 1 pivot & engine bridge for Zoroark lineup.
PKMN-10275,Zoroark VSTAR,Rebel Clash,056/198,Pokemon,Stage 1,Zorua,220,Darkness,,VSTAR Rule: Opponent takes 2 Prizes.,Grass x2,None,2,Dark Pulse,2 D,220,,,,,,,,Meta tier-1 rule-box flagship Zoroark VSTAR.
PKMN-10276,Inkay,Silver Tempest,164/198,Pokemon,Basic,,90,Darkness,,,Grass x2,None,1,Frenzy Gouging,1 D,30,,Night Slash,2 D,30,,,"Once during your turn, you may draw 1 card.",Standard basic Darkness starter for Inkay evolution tree.
PKMN-10277,Malamar,Silver Tempest,084/198,Pokemon,Stage 1,Inkay,120,Darkness,,,Grass x2,None,1,Torment,2 D,50,,Foul Play,3 D,90,,Inconspicuous,,Stage 1 pivot & engine bridge for Malamar lineup.
PKMN-10278,Malamar,Silver Tempest,157/198,Pokemon,Stage 1,Inkay,320,Darkness,,VSTAR Rule: Opponent takes 2 Prizes.,Grass x2,None,1,Dark Pulse,2 D,200,,,,220,,,,Meta tier-1 rule-box flagship Malamar.
PKMN-10279,Roaring Moon,Silver Tempest,128/198,Pokemon,Basic,,70,Darkness,,,Grass x2,None,2,Dark Pulse,1 D,30,,,2 D,50,,,,Standard basic Darkness starter for Roaring Moon evolution tree.
PKMN-10280,Roaring Moon ex,Silver Tempest,198/198,Pokemon,Basic,,220,Darkness,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Grass x2,None,2,Bite,2 D,220,,Night Slash,3 D,,,,,Meta tier-1 rule-box flagship Roaring Moon ex.
PKMN-10281,Okidogi,Battle Styles,093/198,Pokemon,Basic,,50,Darkness,,,Fighting x2,None,3,Shadow Claw,1 D,20,,Darkness Fang,2 D,,,,,Standard basic Darkness starter for Okidogi evolution tree.
PKMN-10282,Okidogi ex,Battle Styles,190/198,Pokemon,Basic,,320,Colorless,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fighting x2,None,3,Dark Pulse,2 D,160,,Shadow Claw,3 D,,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Okidogi ex.
PKMN-10283,Fezandipiti,Paldea Evolved,058/198,Pokemon,Basic,,70,Darkness,,,Fighting x2,None,1,Darkness Fang,1 D,10,,,2 D,40,,Fezandipiti's Intuition,,Standard basic Darkness starter for Fezandipiti evolution tree.
PKMN-10284,Fezandipiti ex,Paldea Evolved,058/198,Pokemon,Basic,,320,Colorless,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fighting x2,None,1,Frenzy Gouging,2 D,160,,,,,,,,Meta tier-1 rule-box flagship Fezandipiti ex.
PKMN-10285,Munkidori,Obsidian Flames,003/198,Pokemon,Basic,,70,Darkness,,,Fighting x2,None,1,Darkness Fang,1 D,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,,40,,,,Standard basic Darkness starter for Munkidori evolution tree.
PKMN-10286,Munkidori,Obsidian Flames,198/198,Pokemon,Basic,,230,Darkness,,VSTAR Rule: Opponent takes 2 Prizes.,Fighting x2,None,1,Darkness Fang,2 D,180,,Frenzy Gouging,3 D,,,,,Meta tier-1 rule-box flagship Munkidori.
PKMN-10287,Pecharunt,Silver Tempest,001/198,Pokemon,Basic,,80,Darkness,,,Fighting x2,None,1,Dark Pulse,1 D,30,,Bite,2 D,40,,,,Standard basic Darkness starter for Pecharunt evolution tree.
PKMN-10288,Pecharunt ex,Silver Tempest,072/198,Pokemon,Basic,,220,Colorless,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fighting x2,None,1,Foul Play,2 D,240,,Bite,3 D,,,,,Meta tier-1 rule-box flagship Pecharunt ex.
PKMN-10289,Umbreon,Chilling Reign,020/198,Pokemon,Basic,,90,Darkness,,,Grass x2,None,2,Crunch,1 D,30,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,2 D,40,,,,Standard basic Darkness starter for Umbreon evolution tree.
PKMN-10290,Umbreon VMAX,Chilling Reign,189/198,Pokemon,Basic,,280,Darkness,,VSTAR Rule: Opponent takes 2 Prizes.,Grass x2,None,2,Bite,2 D,220,,Night Slash,,300,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Umbreon VMAX.
PKMN-10291,Tyranitar,Pokemon 151,120/198,Pokemon,Basic,,70,Darkness,,,Grass x2,None,3,Crunch,1 D,20,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Shadow Claw,,40,,,"Once during your turn, you may draw 1 card.",Standard basic Darkness starter for Tyranitar evolution tree.
PKMN-10292,Pupitar,Pokemon 151,041/198,Pokemon,Stage 1,Tyranitar,110,Darkness,,,Grass x2,None,3,Torment,2 D,50,Discard an Energy from this Pokemon to deal 30 more damage.,,3 D,,,,,Stage 1 pivot & engine bridge for Pupitar lineup.
PKMN-10293,Larvitar,Pokemon 151,102/198,Pokemon,Stage 2,Pupitar,180,Darkness,,,Grass x2,None,4,Dark Pulse,2 D 1 C,160,,,3 D,,,,,Stage 2 heavy attacker / archetype anchor Larvitar.
PKMN-10294,Tyranitar ex,Pokemon 151,119/198,Pokemon,Stage 2,Pupitar,220,Dragon,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Grass x2,None,3,Night Slash,2 D,160,,Foul Play,3 D,,,,,Meta tier-1 rule-box flagship Tyranitar ex.
PKMN-10295,Hydreigon,Astral Radiance,151/198,Pokemon,Basic,,70,Darkness,,,Grass x2,None,3,Night Slash,1 D,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Torment,,30,,Hydreigon's Intuition,,Standard basic Darkness starter for Hydreigon evolution tree.
PKMN-10296,Zweilous,Astral Radiance,085/198,Pokemon,Stage 1,Hydreigon,90,Darkness,,,Grass x2,None,3,Dark Pulse,2 D,80,Discard an Energy from this Pokemon to deal 30 more damage.,,3 D,,,,,Stage 1 pivot & engine bridge for Zweilous lineup.
PKMN-10297,Deino,Astral Radiance,098/198,Pokemon,Stage 2,Zweilous,170,Darkness,,,Grass x2,None,4,Crunch,2 D 1 C,160,This attack does 30 damage to each of your opponent's Benched Pokemon.,Sucker Punch,,180,,,,Stage 2 heavy attacker / archetype anchor Deino.
PKMN-10298,Hydreigon ex,Astral Radiance,123/198,Pokemon,Stage 2,Zweilous,220,Darkness,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Grass x2,None,3,Night Slash,2 D,200,,Frenzy Gouging,3 D,,,,,Meta tier-1 rule-box flagship Hydreigon ex.
PKMN-10299,Beldum,Astral Radiance,098/198,Pokemon,Basic,,70,Metal,,,Fire x2,Grass -30,2,Armored Press,1 M,20,,Flash Cannon,,40,,,"Once during your turn, you may draw 1 card.",Standard basic Metal starter for Beldum evolution tree.
PKMN-10300,Metang,Astral Radiance,153/198,Pokemon,Stage 1,Beldum,100,Metal,,,Fire x2,Grass -30,2,Flash Cannon,2 M,70,Discard an Energy from this Pokemon to deal 30 more damage.,,,,,,,Stage 1 pivot & engine bridge for Metang lineup.
PKMN-10301,Metagross,Astral Radiance,041/198,Pokemon,Stage 2,Metang,140,Metal,,,Fire x2,Grass -30,3,Steel Wing,2 M 1 C,140,,,,180,,,,Stage 2 heavy attacker / archetype anchor Metagross.
PKMN-10302,Metagross ex,Astral Radiance,045/198,Pokemon,Stage 2,Metang,230,Metal,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,Grass -30,2,Steel Wing,2 M,240,,Meteor Mash,,300,,,,Meta tier-1 rule-box flagship Metagross ex.
PKMN-10303,Dialga,Fusion Strike,145/198,Pokemon,Basic,,60,Metal,,,Fire x2,Grass -30,2,Bullet Punch,1 M,20,,Metal Claw,2 M,50,,Dialga's Intuition,,Standard basic Metal starter for Dialga evolution tree.
PKMN-10304,Origin Forme Dialga VSTAR,Fusion Strike,001/198,Pokemon,Basic,,280,Metal,,VSTAR Rule: Opponent takes 2 Prizes.,Fire x2,Grass -30,2,Bullet Punch,2 M,180,,,3 M,260,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Origin Forme Dialga VSTAR.
PKMN-10305,Gholdengo,Paradox Rift,029/198,Pokemon,Basic,,90,Metal,,,Fire x2,Grass -30,1,Bullet Punch,1 M,20,,Metal Claw,,30,,,,Standard basic Metal starter for Gholdengo evolution tree.
PKMN-10306,Gimmighoul,Paradox Rift,041/198,Pokemon,Stage 1,Gholdengo,120,Metal,,,Fire x2,Grass -30,1,Make It Rain,2 M,70,Discard an Energy from this Pokemon to deal 30 more damage.,,,,,,,Stage 1 pivot & engine bridge for Gimmighoul lineup.
PKMN-10307,Gholdengo ex,Paradox Rift,151/198,Pokemon,Stage 1,Gholdengo,230,Grass,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,Grass -30,1,Heavy Slam,2 M,280,,,3 M,,,,,Meta tier-1 rule-box flagship Gholdengo ex.
PKMN-10308,Iron Crown,Fusion Strike,009/198,Pokemon,Basic,,60,Metal,,,Fire x2,Grass -30,2,Star Chronos,1 M,30,,,,,,Iron Crown's Intuition,,Standard basic Metal starter for Iron Crown evolution tree.
PKMN-10309,Iron Crown ex,Fusion Strike,020/198,Pokemon,Basic,,230,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,Grass -30,2,Meteor Mash,2 M,180,,,,,,,,Meta tier-1 rule-box flagship Iron Crown ex.
PKMN-10310,Archaludon,Crown Zenith,003/198,Pokemon,Basic,,70,Metal,,,Fire x2,Grass -30,2,Meteor Mash,1 M,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Make It Rain,2 M,30,,Archaludon's Intuition,,Standard basic Metal starter for Archaludon evolution tree.
PKMN-10311,Duraludon,Crown Zenith,108/198,Pokemon,Stage 1,Archaludon,100,Metal,,,Fire x2,Grass -30,2,Star Chronos,2 M,80,,Star Chronos,3 M,100,,,,Stage 1 pivot & engine bridge for Duraludon lineup.
PKMN-10312,Archaludon ex,Crown Zenith,042/198,Pokemon,Stage 1,Archaludon,310,Metal,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,Grass -30,2,Iron Head,2 M,160,,Meteor Mash,3 M,260,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Archaludon ex.
PKMN-10313,Melmetal,Rebel Clash,141/198,Pokemon,Basic,,50,Metal,,,Fire x2,Grass -30,3,Metal Claw,1 M,20,,,2 M,50,,Melmetal's Intuition,,Standard basic Metal starter for Melmetal evolution tree.
PKMN-10314,Meltan,Rebel Clash,041/198,Pokemon,Stage 1,Melmetal,90,Metal,,,Fire x2,Grass -30,3,Iron Head,2 M,70,Discard an Energy from this Pokemon to deal 30 more damage.,Armored Press,,,,,,Stage 1 pivot & engine bridge for Meltan lineup.
PKMN-10315,Melmetal ex,Rebel Clash,061/198,Pokemon,Stage 1,Melmetal,220,Colorless,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,Grass -30,3,Star Chronos,2 M,240,,,3 M,220,,,,Meta tier-1 rule-box flagship Melmetal ex.
PKMN-10316,Scizor,Stellar Crown,052/198,Pokemon,Basic,,50,Metal,,,Fire x2,Grass -30,1,Bullet Punch,1 M,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,,30,,,,Standard basic Metal starter for Scizor evolution tree.
PKMN-10317,Scyther,Stellar Crown,126/198,Pokemon,Stage 1,Scizor,110,Metal,,,Fire x2,Grass -30,1,Iron Head,2 M,80,Discard an Energy from this Pokemon to deal 30 more damage.,,3 M,90,,,,Stage 1 pivot & engine bridge for Scyther lineup.
PKMN-10318,Scizor ex,Stellar Crown,069/198,Pokemon,Stage 1,Scizor,320,Colorless,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,Grass -30,1,Metal Claw,2 M,280,,,3 M,300,,,,Meta tier-1 rule-box flagship Scizor ex.
PKMN-10319,Steelix,Fusion Strike,016/198,Pokemon,Basic,,80,Metal,,,Fire x2,Grass -30,4,Steel Wing,1 M,30,,Armored Press,,30,,,"Once during your turn, you may draw 1 card.",Standard basic Metal starter for Steelix evolution tree.
PKMN-10320,Onix,Fusion Strike,183/198,Pokemon,Stage 1,Steelix,90,Metal,,,Fire x2,Grass -30,4,Armored Press,2 M,60,Discard an Energy from this Pokemon to deal 30 more damage.,,3 M,,,,,Stage 1 pivot & engine bridge for Onix lineup.
PKMN-10321,Steelix ex,Fusion Strike,033/198,Pokemon,Stage 1,Steelix,220,Metal,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,Grass -30,4,Star Chronos,2 M,160,,,3 M,,,,,Meta tier-1 rule-box flagship Steelix ex.
PKMN-10322,Zacian,Brilliant Stars,187/198,Pokemon,Basic,,50,Metal,,,Fire x2,Grass -30,2,Heavy Slam,1 M,10,,Meteor Mash,2 M,40,,,"Once during your turn, you may draw 1 card.",Standard basic Metal starter for Zacian evolution tree.
PKMN-10323,Zacian V,Brilliant Stars,180/198,Pokemon,Basic,,320,Metal,,VSTAR Rule: Opponent takes 2 Prizes.,Fire x2,Grass -30,2,Bullet Punch,2 M,240,,,3 M,300,,,,Meta tier-1 rule-box flagship Zacian V.
PKMN-10324,Heatran,Pokemon 151,026/198,Pokemon,Basic,,70,Metal,,,Fire x2,Grass -30,3,Iron Head,1 M,30,,,2 M,,,,,Standard basic Metal starter for Heatran evolution tree.
PKMN-10325,Heatran,Pokemon 151,045/198,Pokemon,Basic,,280,Metal,,VSTAR Rule: Opponent takes 2 Prizes.,Fire x2,Grass -30,3,Star Chronos,2 M,180,,,,260,,,,Meta tier-1 rule-box flagship Heatran.
PKMN-10326,Pidgey,Surging Sparks,191/198,Pokemon,Basic,,80,Colorless,,,Lightning x2,Fighting -30,0,Body Slam,1 C,20,,Tackle,,40,,,,Standard basic Colorless starter for Pidgey evolution tree.
PKMN-10327,Pidgeotto,Surging Sparks,176/198,Pokemon,Stage 1,Pidgey,90,Colorless,,,Lightning x2,Fighting -30,0,Body Slam,2 C,60,,,,100,,,,Stage 1 pivot & engine bridge for Pidgeotto lineup.
PKMN-10328,Pidgeot,Surging Sparks,166/198,Pokemon,Stage 2,Pidgeotto,140,Colorless,,,Lightning x2,Fighting -30,1,Body Slam,2 C 1 C,180,This attack does 30 damage to each of your opponent's Benched Pokemon.,,,,,,,Stage 2 heavy attacker / archetype anchor Pidgeot.
PKMN-10329,Pidgeot ex,Surging Sparks,041/198,Pokemon,Stage 2,Pidgeotto,220,Colorless,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Lightning x2,Fighting -30,0,Double-Edge,2 C,280,,,3 C,,,Quick Search,"Once during your turn, search deck for ANY 1 card.",Meta tier-1 rule-box flagship Pidgeot ex.
PKMN-10330,Eevee,Scarlet & Violet Base,052/198,Pokemon,Basic,,50,Colorless,,,Fighting x2,None,1,Hyper Beam,1 C,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Body Slam,2 C,40,,,,Standard basic Colorless starter for Eevee evolution tree.
PKMN-10331,Snorlax,Astral Radiance,062/198,Pokemon,Basic,,70,Colorless,,,Fighting x2,None,4,Quick Attack,1 C,20,,Tackle,,40,,,,Standard basic Colorless starter for Snorlax evolution tree.
PKMN-10332,Munchlax,Astral Radiance,067/198,Pokemon,Stage 1,Snorlax,90,Colorless,,,Fighting x2,None,4,Double-Edge,2 C,50,,Swift,,80,,,,Stage 1 pivot & engine bridge for Munchlax lineup.
PKMN-10333,Snorlax,Astral Radiance,174/198,Pokemon,Stage 1,Snorlax,230,Colorless,,VSTAR Rule: Opponent takes 2 Prizes.,Fighting x2,None,4,Double-Edge,2 C,280,,Tackle,,,,,,Meta tier-1 rule-box flagship Snorlax.
PKMN-10334,Dunsparce,Battle Styles,154/198,Pokemon,Basic,,50,Colorless,,,Fighting x2,None,1,Hyper Beam,1 C,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,2 C,,,,,Standard basic Colorless starter for Dunsparce evolution tree.
PKMN-10335,Dudunsparce,Battle Styles,097/198,Pokemon,Stage 1,Dunsparce,110,Colorless,,,Fighting x2,None,1,Quick Search,2 C,70,Discard an Energy from this Pokemon to deal 30 more damage.,Prismatic Beam,,80,,Inconspicuous,,Stage 1 pivot & engine bridge for Dudunsparce lineup.
PKMN-10336,Dudunsparce ex,Battle Styles,096/198,Pokemon,Stage 1,Dunsparce,320,Colorless,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fighting x2,None,1,Swift,2 C,240,,Quick Attack,3 C,260,,,,Meta tier-1 rule-box flagship Dudunsparce ex.
PKMN-10337,Arceus,Shrouded Fable,049/198,Pokemon,Basic,,60,Colorless,,,Fighting x2,None,2,Double-Edge,1 C,30,,,,,,,,Standard basic Colorless starter for Arceus evolution tree.
PKMN-10338,Arceus VSTAR,Shrouded Fable,175/198,Pokemon,Basic,,230,Colorless,,VSTAR Rule: Opponent takes 2 Prizes.,Fighting x2,None,2,Tackle,2 C,280,,Double-Edge,3 C,260,,,,Meta tier-1 rule-box flagship Arceus VSTAR.
PKMN-10339,Bidoof,Fusion Strike,088/198,Pokemon,Basic,,60,Colorless,,,Fighting x2,None,2,Swift,1 C,30,,,,,,,,Standard basic Colorless starter for Bidoof evolution tree.
PKMN-10340,Bibarel,Fusion Strike,169/198,Pokemon,Stage 1,Bidoof,130,Colorless,,,Fighting x2,None,2,Hyper Beam,2 C,70,Discard an Energy from this Pokemon to deal 30 more damage.,Double-Edge,,,,,,Stage 1 pivot & engine bridge for Bibarel lineup.
PKMN-10341,Bibarel,Fusion Strike,175/198,Pokemon,Stage 1,Bidoof,280,Colorless,,VSTAR Rule: Opponent takes 2 Prizes.,Fighting x2,None,2,Quick Attack,2 C,180,,Double-Edge,3 C,,,,,Meta tier-1 rule-box flagship Bibarel.
PKMN-10342,Togedemaru,Fusion Strike,031/198,Pokemon,Basic,,80,Lightning,,,Fighting x2,None,1,Electro Ball,1 L,10,,Wild Charge,,30,,,,Standard basic Lightning starter for Togedemaru evolution tree.
PKMN-10343,Cinccino,Rebel Clash,106/198,Pokemon,Basic,,50,Colorless,,,Fighting x2,None,1,Prismatic Beam,1 C,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Double-Edge,2 C,40,,Cinccino's Intuition,,Standard basic Colorless starter for Cinccino evolution tree.
PKMN-10344,Minccino,Rebel Clash,047/198,Pokemon,Stage 1,Cinccino,90,Colorless,,,Fighting x2,None,1,Quick Search,2 C,70,,Tackle,3 C,80,,,,Stage 1 pivot & engine bridge for Minccino lineup.
PKMN-10345,Cinccino,Rebel Clash,041/198,Pokemon,Stage 1,Cinccino,310,Colorless,,VSTAR Rule: Opponent takes 2 Prizes.,Fighting x2,None,1,Quick Attack,2 C,180,,,,260,,,,Meta tier-1 rule-box flagship Cinccino.
PKMN-10346,Squawkabilly,Paldea Evolved,188/198,Pokemon,Basic,,70,Colorless,,,Lightning x2,Fighting -30,1,Prismatic Beam,1 C,10,,,2 C,30,,,"Once during your turn, you may draw 1 card.",Standard basic Colorless starter for Squawkabilly evolution tree.
PKMN-10347,Squawkabilly ex,Paldea Evolved,089/198,Pokemon,Basic,,280,Colorless,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Lightning x2,Fighting -30,1,Hyper Beam,2 C,160,,Swift,3 C,220,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Squawkabilly ex.
PKMN-10348,Bouffalant,Stellar Crown,153/198,Pokemon,Basic,,90,Colorless,,,Fighting x2,None,2,Quick Search,1 C,20,,,2 C,,,,,Standard basic Colorless starter for Bouffalant evolution tree.
PKMN-10349,Bouffalant,Stellar Crown,043/198,Pokemon,Basic,,310,Colorless,,VSTAR Rule: Opponent takes 2 Prizes.,Fighting x2,None,2,Tackle,2 C,180,,Hyper Beam,3 C,300,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Bouffalant.
PKMN-10350,Castform,Sword & Shield Base,164/198,Pokemon,Basic,,70,Colorless,,,Fighting x2,None,1,Tackle,1 C,30,,Trinity Nova,2 C,30,,Castform's Intuition,"Once during your turn, you may draw 1 card.",Standard basic Colorless starter for Castform evolution tree.
PKMN-10351,Ditto,Vivid Voltage,141/198,Pokemon,Basic,,70,Colorless,,,Fighting x2,None,1,Trinity Nova,1 C,20,,Quick Attack,,40,,,,Standard basic Colorless starter for Ditto evolution tree.
TRNR-10352,Professor's Research,Brilliant Stars,156/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Discard your hand and draw 7 cards.,Trainer card: Supporter (draw)
TRNR-10353,Professor's Research,Silver Tempest,036/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Discard your hand and draw 7 cards.,Trainer card: Supporter (draw)
TRNR-10354,Professor's Research,Darkness Ablaze,027/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Discard your hand and draw 7 cards.,Trainer card: Supporter (draw)
TRNR-10355,Professor's Research,Chilling Reign,185/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Discard your hand and draw 7 cards.,Trainer card: Supporter (draw)
TRNR-10356,Professor's Research,Brilliant Stars,031/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Discard your hand and draw 7 cards.,Trainer card: Supporter (draw)
TRNR-10357,Professor's Research,Stellar Crown,030/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Discard your hand and draw 7 cards.,Trainer card: Supporter (draw)
TRNR-10358,Professor's Research,Pokemon 151,128/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Discard your hand and draw 7 cards.,Trainer card: Supporter (draw)
TRNR-10359,Professor's Research,Temporal Forces,156/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Discard your hand and draw 7 cards.,Trainer card: Supporter (draw)
TRNR-10360,Iono,Shrouded Fable,134/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Each player shuffles hand into deck, then draws cards equal to remaining prize cards.",Trainer card: Supporter (disruption_draw)
TRNR-10361,Iono,Temporal Forces,092/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Each player shuffles hand into deck, then draws cards equal to remaining prize cards.",Trainer card: Supporter (disruption_draw)
TRNR-10362,Iono,Silver Tempest,105/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Each player shuffles hand into deck, then draws cards equal to remaining prize cards.",Trainer card: Supporter (disruption_draw)
TRNR-10363,Iono,Stellar Crown,042/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Each player shuffles hand into deck, then draws cards equal to remaining prize cards.",Trainer card: Supporter (disruption_draw)
TRNR-10364,Iono,Paldea Evolved,141/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Each player shuffles hand into deck, then draws cards equal to remaining prize cards.",Trainer card: Supporter (disruption_draw)
TRNR-10365,Iono,Battle Styles,054/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Each player shuffles hand into deck, then draws cards equal to remaining prize cards.",Trainer card: Supporter (disruption_draw)
TRNR-10366,Iono,Silver Tempest,124/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Each player shuffles hand into deck, then draws cards equal to remaining prize cards.",Trainer card: Supporter (disruption_draw)
TRNR-10367,Boss's Orders,Twilight Masquerade,001/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Switch 1 of your opponent's Benched Pokemon to the Active Spot.,Trainer card: Supporter (gust)
TRNR-10368,Boss's Orders,Scarlet & Violet Base,172/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Switch 1 of your opponent's Benched Pokemon to the Active Spot.,Trainer card: Supporter (gust)
TRNR-10369,Boss's Orders,Obsidian Flames,029/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Switch 1 of your opponent's Benched Pokemon to the Active Spot.,Trainer card: Supporter (gust)
TRNR-10370,Boss's Orders,Fusion Strike,172/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Switch 1 of your opponent's Benched Pokemon to the Active Spot.,Trainer card: Supporter (gust)
TRNR-10371,Boss's Orders,Battle Styles,039/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Switch 1 of your opponent's Benched Pokemon to the Active Spot.,Trainer card: Supporter (gust)
TRNR-10372,Boss's Orders,Obsidian Flames,131/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Switch 1 of your opponent's Benched Pokemon to the Active Spot.,Trainer card: Supporter (gust)
TRNR-10373,Boss's Orders,Obsidian Flames,186/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Switch 1 of your opponent's Benched Pokemon to the Active Spot.,Trainer card: Supporter (gust)
TRNR-10374,Boss's Orders,Crown Zenith,026/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,Switch 1 of your opponent's Benched Pokemon to the Active Spot.,Trainer card: Supporter (gust)
TRNR-10375,Arven,Astral Radiance,060/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Search your deck for an Item card and a Pokemon Tool card, reveal them, and put them into your hand.",Trainer card: Supporter (search_item_tool)
TRNR-10376,Arven,Vivid Voltage,076/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Search your deck for an Item card and a Pokemon Tool card, reveal them, and put them into your hand.",Trainer card: Supporter (search_item_tool)
TRNR-10377,Arven,Shrouded Fable,119/198,Trainer,,,,,Supporter,,,,,,,,,,,,,,"Search your deck for an Item card and a Pokemon Tool card, reveal them, and put them into your hand.",Trainer card: Supporter (search_item_tool)
